Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,HBP,RBI,SO,SF,H,GIDP,3B,PA,HR,XBH,SH,R,BB,AB,SB,CS,IBB,TB,2B,SHO,ER,ERA,DEC,WP,GS,CG,SV,IP,TBF,GF,Pitches Thrown,Pitching Outs,Actual Stat,Hit
William Contreras,C,MIL,Hitter Fantasy Score,5.0,ATL,base,Mon 7:40 PM,0,1,1,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,5.0,1
Ozzie Albies,IF,ATL,Hitter Fantasy Score,4.5,MIL,base,Mon 7:40 PM,0,0,0,0,2,0,0,5,0,0,0,1,1,4,0,0,0,2,0,,,,,,,,,,,,0,0,10.0,1
Sal Frelick,OF,MIL,Hitter Fantasy Score,4.5,ATL,base,Mon 7:40 PM,0,0,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Rhys Hoskins,IF,MIL,Hitter Fantasy Score,4.5,ATL,base,Mon 7:40 PM,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Jackson Chourio,OF,MIL,Hitter Fantasy Score,5.5,ATL,base,Mon 7:40 PM,0,0,2,0,1,0,0,4,0,0,0,0,0,4,0,1,0,1,0,,,,,,,,,,,,0,0,3.0,0
Drake Baldwin,C,ATL,Hitter Fantasy Score,5.5,MIL,base,Mon 7:40 PM,0,0,1,0,0,1,0,5,0,0,0,0,1,4,0,0,0,0,0,,,,,,,,,,,,0,0,2.0,0
Nick Allen,IF,ATL,Hitter Fantasy Score,3.5,MIL,base,Mon 7:40 PM,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Alex Verdugo,OF,ATL,Hitter Fantasy Score,4.5,MIL,base,Mon 7:40 PM,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Vladimir Guerrero,IF,TOR,Hitter Strikeouts,0.5,STL,base,Mon 7:45 PM,0,0,0,0,2,0,0,5,0,1,0,0,0,5,0,0,0,3,1,,,,,,,,,,,,0,0,0.0,0
Bo Bichette,IF,TOR,Hitter Strikeouts,0.5,STL,base,Mon 7:45 PM,0,1,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,1
Bo Bichette,IF,TOR,Total Bases,1.5,STL,base,Mon 7:45 PM,0,1,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,0
Bo Bichette,IF,TOR,Runs,0.5,STL,base,Mon 7:45 PM,0,1,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,0.0,0
Nolan Gorman,IF,STL,Hits,0.5,TOR,base,Mon 7:45 PM,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,1
Nolan Gorman,IF,STL,Total Bases,0.5,TOR,base,Mon 7:45 PM,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,1
Ivan Herrera,C,STL,Hits+Runs+RBIs,1.5,TOR,base,Mon 7:45 PM,0,3,0,0,2,0,0,4,1,1,0,1,0,4,0,0,0,5,0,,,,,,,,,,,,0,0,6.0,1
Lars Nootbaar,OF,STL,Hits+Runs+RBIs,1.5,TOR,base,Mon 7:45 PM,0,0,2,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Brendan Donovan,IF,STL,Hits+Runs+RBIs,1.5,TOR,base,Mon 7:45 PM,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,0
Willson Contreras,IF,STL,Hits+Runs+RBIs,1.5,TOR,base,Mon 7:45 PM,0,1,0,0,1,0,0,4,0,0,0,1,2,2,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,1
Addison Barger,IF,TOR,Hits+Runs+RBIs,1.5,STL,base,Mon 7:45 PM,0,0,3,0,1,0,0,5,0,0,0,2,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,1
Nathan Lukes,OF,TOR,Hits+Runs+RBIs,1.5,STL,base,Mon 7:45 PM,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,,,,,,,,,,,,0,0,0.0,0
Masyn Winn,IF,STL,Hits+Runs+RBIs,1.5,TOR,base,Mon 7:45 PM,0,0,0,0,1,0,0,5,0,0,0,1,0,5,0,0,0,1,0,,,,,,,,,,,,0,0,2.0,1
Ernie Clement,IF,TOR,Hits+Runs+RBIs,1.5,STL,base,Mon 7:45 PM,0,0,0,0,1,1,0,5,0,1,0,1,0,5,0,0,0,2,1,,,,,,,,,,,,0,0,2.0,1
Victor Scott,OF,STL,Hits,0.5,TOR,base,Mon 7:45 PM,0,0,1,0,0,0,0,4,0,0,0,1,1,3,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Victor Scott,OF,STL,Total Bases,0.5,TOR,base,Mon 7:45 PM,0,0,1,0,0,0,0,4,0,0,0,1,1,3,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Andres Gimenez,IF,TOR,Hits+Runs+RBIs,1.5,STL,base,Mon 7:45 PM,0,0,1,0,1,0,0,5,0,0,1,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,0
