Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Changeup,Slider,Curveball,Sinker,Cutter,Split Finger,Sweeper,Knuckle Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
joe ryan,P,MIN,Pitcher Fantasy Score,36.5,HOU,base,Sat 4:10 PM,13,7,2,2.96,82,10.11,1.85,5.47,1.11,6.53,21390.0,28.3%,5.2%,23.1%,0.199,0.93,0.251,80.7%,74.0,84.0,3.42,54.4%,,5.0%,0.6%,9.7%,,15.4%,14.8%,,,357.0,0.305,526.0,0.45,191.0,0.163,96.0,0.082,94.44,2306.0,0.296,0.0,0.481,0.185,0.259,93.81,2268.0,0.333,0.0,0.394,0.303,0.212,,25.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,93.0,21.0,40.0,1.0
joe ryan,P,MIN,Pitches Thrown,92.5,HOU,base,Sat 4:10 PM,13,7,2,2.96,82,10.11,1.85,5.47,1.11,6.53,21390.0,28.3%,5.2%,23.1%,0.199,0.93,0.251,80.7%,74.0,84.0,3.42,54.4%,,5.0%,0.6%,9.7%,,15.4%,14.8%,,,357.0,0.305,526.0,0.45,191.0,0.163,96.0,0.082,94.44,2306.0,0.296,0.0,0.481,0.185,0.259,93.81,2268.0,0.333,0.0,0.394,0.303,0.212,,25.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,93.0,21.0,93.0,1.0
joe ryan,P,MIN,Pitcher Strikeouts,6.5,HOU,base,Sat 4:10 PM,13,7,2,2.96,82,10.11,1.85,5.47,1.11,6.53,21390.0,28.3%,5.2%,23.1%,0.199,0.93,0.251,80.7%,74.0,84.0,3.42,54.4%,,5.0%,0.6%,9.7%,,15.4%,14.8%,,,357.0,0.305,526.0,0.45,191.0,0.163,96.0,0.082,94.44,2306.0,0.296,0.0,0.481,0.185,0.259,93.81,2268.0,0.333,0.0,0.394,0.303,0.212,,25.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,93.0,21.0,7.0,1.0
hunter brown,P,HOU,Pitches Thrown,93.5,MIN,base,Sat 4:10 PM,13,8,3,1.82,93,10.59,2.85,3.72,0.68,5.81,25880.0,31.1%,8.4%,22.7%,0.187,0.96,0.259,87.5%,46.0,66.0,2.7,36.2%,14.2%,5.7%,,24.0%,3.9%,,,16.0%,,312.0,0.251,570.0,0.459,269.0,0.217,90.0,0.073,96.86,2286.0,0.381,0.0,0.381,0.238,0.333,96.73,2248.0,0.343,0.0,0.403,0.239,0.284,,26.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,98.0,21.0,98.0,1.0
hunter brown,P,HOU,Pitcher Strikeouts,7.0,MIN,base,Sat 4:10 PM,13,8,3,1.82,93,10.59,2.85,3.72,0.68,5.81,25880.0,31.1%,8.4%,22.7%,0.187,0.96,0.259,87.5%,46.0,66.0,2.7,36.2%,14.2%,5.7%,,24.0%,3.9%,,,16.0%,,312.0,0.251,570.0,0.459,269.0,0.217,90.0,0.073,96.86,2286.0,0.381,0.0,0.381,0.238,0.333,96.73,2248.0,0.343,0.0,0.403,0.239,0.284,,26.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,98.0,21.0,12.0,1.0
hunter brown,P,HOU,Pitcher Fantasy Score,39.5,MIN,base,Sat 4:10 PM,13,8,3,1.82,93,10.59,2.85,3.72,0.68,5.81,25880.0,31.1%,8.4%,22.7%,0.187,0.96,0.259,87.5%,46.0,66.0,2.7,36.2%,14.2%,5.7%,,24.0%,3.9%,,,16.0%,,312.0,0.251,570.0,0.459,269.0,0.217,90.0,0.073,96.86,2286.0,0.381,0.0,0.381,0.238,0.333,96.73,2248.0,0.343,0.0,0.403,0.239,0.284,,26.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,98.0,21.0,55.0,1.0
michael lorenzen,P,KC,Walks Allowed,1.5,OAK,base,Sat 4:10 PM,13,4,6,4.94,61,7.73,2.79,2.77,1.65,9.63,14843.0,19.7%,7.1%,12.6%,0.267,1.38,0.299,72.1%,118.0,117.0,4.75,26.1%,18.4%,11.2%,13.9%,12.5%,10.6%,,7.4%,,,321.0,0.272,514.0,0.435,251.0,0.213,95.0,0.08,94.08,2323.0,0.44,0.0,0.28,0.36,0.24,94.02,2318.0,0.475,0.0,0.361,0.311,0.23,,,,,,,,,,,,,,,
michael lorenzen,P,KC,Pitches Thrown,91.5,OAK,base,Sat 4:10 PM,13,4,6,4.94,61,7.73,2.79,2.77,1.65,9.63,14843.0,19.7%,7.1%,12.6%,0.267,1.38,0.299,72.1%,118.0,117.0,4.75,26.1%,18.4%,11.2%,13.9%,12.5%,10.6%,,7.4%,,,321.0,0.272,514.0,0.435,251.0,0.213,95.0,0.08,94.08,2323.0,0.44,0.0,0.28,0.36,0.24,94.02,2318.0,0.475,0.0,0.361,0.311,0.23,L,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,89.0,18.0,89.0,0.0
michael lorenzen,P,KC,Pitching Outs,17.5,OAK,base,Sat 4:10 PM,13,4,6,4.94,61,7.73,2.79,2.77,1.65,9.63,14843.0,19.7%,7.1%,12.6%,0.267,1.38,0.299,72.1%,118.0,117.0,4.75,26.1%,18.4%,11.2%,13.9%,12.5%,10.6%,,7.4%,,,321.0,0.272,514.0,0.435,251.0,0.213,95.0,0.08,94.08,2323.0,0.44,0.0,0.28,0.36,0.24,94.02,2318.0,0.475,0.0,0.361,0.311,0.23,L,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,89.0,18.0,18.0,1.0
michael lorenzen,P,KC,Pitcher Strikeouts,4.5,OAK,base,Sat 4:10 PM,13,4,6,4.94,61,7.73,2.79,2.77,1.65,9.63,14843.0,19.7%,7.1%,12.6%,0.267,1.38,0.299,72.1%,118.0,117.0,4.75,26.1%,18.4%,11.2%,13.9%,12.5%,10.6%,,7.4%,,,321.0,0.272,514.0,0.435,251.0,0.213,95.0,0.08,94.08,2323.0,0.44,0.0,0.28,0.36,0.24,94.02,2318.0,0.475,0.0,0.361,0.311,0.23,L,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,89.0,18.0,4.0,0.0
