Player,Pitch,RV/100,wOBA,xwOBA,Hard Hit %
Nolan Arenado,4-Seam Fastball,0.7,0.366,0.342,35.6
Nolan Arenado,Slider,-0.4,0.326,0.318,29.0
Nolan Arenado,Sinker,-2.2,0.263,0.289,46.7
Nolan Gorman,4-Seam Fastball,-1.3,0.274,0.35,50.0
Oneil Cruz,4-Seam Fastball,2.4,0.468,0.521,75.8
Oneil Cruz,Sinker,1.6,0.397,0.357,52.4
Oneil Cruz,Slider,0.9,0.364,0.362,45.0
Oneil Cruz,Changeup,0.6,0.322,0.383,64.7
Oneil Cruz,Curveball,-2.6,0.103,0.125,38.5
Paul Goldschmidt,Slider,1.4,0.32,0.366,44.8
Paul Goldschmidt,Sinker,0.5,0.387,0.354,42.9
Paul Goldschmidt,4-Seam Fastball,-0.4,0.342,0.38,47.5
Pedro Pages,Slider,-0.5,0.305,0.248,41.7
Pedro Pages,Sinker,-1.3,0.301,0.306,35.3
Pedro Pages,4-Seam Fastball,-1.3,0.271,0.254,30.4
Pete Crow-Armstrong,Changeup,3.3,0.408,0.445,51.5
Pete Crow-Armstrong,Slider,3.2,0.397,0.266,40.0
Pete Crow-Armstrong,Curveball,1.2,0.37,0.248,23.1
Pete Crow-Armstrong,4-Seam Fastball,-0.2,0.301,0.338,54.0
Rhys Hoskins,Sinker,2.9,0.525,0.486,51.4
Rhys Hoskins,4-Seam Fastball,0.8,0.361,0.358,57.1
Rhys Hoskins,Slider,0.4,0.314,0.242,33.3
Rhys Hoskins,Sweeper,-2.4,0.084,0.189,20.0
Riley Greene,Curveball,3.7,0.467,0.389,68.4
Riley Greene,4-Seam Fastball,0.6,0.377,0.354,35.7
Riley Greene,Changeup,-0.1,0.284,0.29,51.7
Riley Greene,Sinker,-0.2,0.342,0.268,41.9
Riley Greene,Slider,-0.9,0.288,0.329,47.1
Ryan Mcmahon,4-Seam Fastball,1.8,0.392,0.44,54.8
Ryan Mcmahon,Cutter,1.2,0.454,0.373,36.4
Ryan Mcmahon,Sinker,0.0,0.331,0.419,66.7
Ryan Mcmahon,Changeup,-0.8,0.25,0.349,30.8
Ryan Mcmahon,Slider,-1.4,0.247,0.316,44.4
Ryan O'Hearn,4-Seam Fastball,2.8,0.484,0.509,55.9
Ryan O'Hearn,Sinker,-0.2,0.361,0.395,53.6
Ryan O'Hearn,Slider,-0.8,0.282,0.246,50.0
Ryan O'Hearn,Changeup,-1.4,0.179,0.222,42.1
Sal Frelick,Slider,2.2,0.412,0.43,36.0
Sal Frelick,4-Seam Fastball,-0.2,0.343,0.317,30.6
Sal Frelick,Cutter,-1.6,0.25,0.283,37.5
Sal Frelick,Sinker,-1.9,0.269,0.256,25.0
Salvador Perez,Sinker,0.2,0.352,0.435,52.5
Salvador Perez,4-Seam Fastball,-1.4,0.294,0.381,55.8
Salvador Perez,Slider,-3.3,0.134,0.283,50.0
Salvador Perez,Changeup,-3.3,0.166,0.248,21.1
Seiya Suzuki,Sinker,1.1,0.447,0.436,53.8
Seiya Suzuki,4-Seam Fastball,0.9,0.366,0.417,63.0
Seiya Suzuki,Slider,0.5,0.3,0.249,35.3
Seiya Suzuki,Curveball,0.2,0.256,0.346,30.0
Seiya Suzuki,Sweeper,-2.3,0.154,0.208,35.7
Spencer Horwitz,4-Seam Fastball,-0.8,0.288,0.32,42.1
Spencer Torkelson,4-Seam Fastball,3.3,0.458,0.461,58.0
Spencer Torkelson,Changeup,3.1,0.455,0.404,44.4
Spencer Torkelson,Slider,1.2,0.355,0.326,52.4
Spencer Torkelson,Sinker,-0.1,0.336,0.393,39.0
Spencer Torkelson,Sweeper,-3.0,0.146,0.152,13.3
Tyler Fitzgerald,Slider,-1.1,0.25,0.22,7.7
Tyler Fitzgerald,4-Seam Fastball,-2.1,0.292,0.357,40.7
Victor Caratini,4-Seam Fastball,-0.6,0.318,0.365,45.9
Victor Scott,4-Seam Fastball,2.5,0.477,0.392,45.5
Victor Scott,Sinker,-0.1,0.361,0.339,26.9
Victor Scott,Slider,-1.8,0.217,0.218,20.0
Victor Scott,Changeup,-2.0,0.238,0.194,27.8
