Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Slider,Curveball,Split Finger,Cutter,Changeup,Knuckle Curve,Sweeper,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
zack littell,P,TB,Pitcher Fantasy Score,23.5,BOS,base,Wed 7:10 PM,13,6,5,3.68,52,5.8,1.23,4.73,1.9,8.59,15823,16.3%,3.4%,12.8%,0.252,1.09,0.253,86.3%,96.0,128.0,5.04,24.4%,14.1%,32.5%,,24.5%,,,,4.5%,,337,0.298,524,0.463,208,0.184,62,0.055,92.05,2012.0,0.333,0.0,0.521,0.292,0.146,91.89,2002.0,0.375,0.0,0.442,0.26,0.202,L,27.0,4.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,92.0,18.0,24.0,1.0
zack littell,P,TB,Pitcher Strikeouts,4.0,BOS,base,Wed 7:10 PM,13,6,5,3.68,52,5.8,1.23,4.73,1.9,8.59,15823,16.3%,3.4%,12.8%,0.252,1.09,0.253,86.3%,96.0,128.0,5.04,24.4%,14.1%,32.5%,,24.5%,,,,4.5%,,337,0.298,524,0.463,208,0.184,62,0.055,92.05,2012.0,0.333,0.0,0.521,0.292,0.146,91.89,2002.0,0.375,0.0,0.442,0.26,0.202,L,27.0,4.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,92.0,18.0,6.0,1.0
walker buehler,P,BOS,Pitcher Strikeouts,4.5,TB,base,Wed 7:10 PM,10,4,4,5.18,44,8.14,3.14,2.59,1.85,9.8,19374,20.4%,7.9%,12.5%,0.273,1.44,0.307,73.8%,122.0,130.0,5.29,22.9%,17.1%,11.3%,,,17.2%,9.4%,11.8%,10.3%,,212,0.253,348,0.415,196,0.234,82,0.098,95.08,2152.0,0.548,0.0,0.258,0.29,0.355,94.63,2249.0,0.5,0.0,0.333,0.312,0.292,W,28.0,3.0,7.0,0.0,3.86,0.0,0.0,1.0,0.0,0.0,97.0,21.0,7.0,1.0
walker buehler,P,BOS,Walks Allowed,1.5,TB,base,Wed 7:10 PM,10,4,4,5.18,44,8.14,3.14,2.59,1.85,9.8,19374,20.4%,7.9%,12.5%,0.273,1.44,0.307,73.8%,122.0,130.0,5.29,22.9%,17.1%,11.3%,,,17.2%,9.4%,11.8%,10.3%,,212,0.253,348,0.415,196,0.234,82,0.098,95.08,2152.0,0.548,0.0,0.258,0.29,0.355,94.63,2249.0,0.5,0.0,0.333,0.312,0.292,,,,,,,,,,,,,,,
walker buehler,P,BOS,Pitcher Fantasy Score,23.5,TB,base,Wed 7:10 PM,10,4,4,5.18,44,8.14,3.14,2.59,1.85,9.8,19374,20.4%,7.9%,12.5%,0.273,1.44,0.307,73.8%,122.0,130.0,5.29,22.9%,17.1%,11.3%,,,17.2%,9.4%,11.8%,10.3%,,212,0.253,348,0.415,196,0.234,82,0.098,95.08,2152.0,0.548,0.0,0.258,0.29,0.355,94.63,2249.0,0.5,0.0,0.333,0.312,0.292,W,28.0,3.0,7.0,0.0,3.86,0.0,0.0,1.0,0.0,0.0,97.0,21.0,43.0,1.0
walker buehler,P,BOS,Earned Runs Allowed,2.5,TB,base,Wed 7:10 PM,10,4,4,5.18,44,8.14,3.14,2.59,1.85,9.8,19374,20.4%,7.9%,12.5%,0.273,1.44,0.307,73.8%,122.0,130.0,5.29,22.9%,17.1%,11.3%,,,17.2%,9.4%,11.8%,10.3%,,212,0.253,348,0.415,196,0.234,82,0.098,95.08,2152.0,0.548,0.0,0.258,0.29,0.355,94.63,2249.0,0.5,0.0,0.333,0.312,0.292,W,28.0,3.0,7.0,0.0,3.86,0.0,0.0,1.0,0.0,0.0,97.0,21.0,3.0,1.0
david peterson,P,NYM,Walks Allowed,1.5,WSH,base,Wed 7:10 PM,12,4,2,2.8,65,8.28,3.18,2.6,0.51,8.15,20302,21.7%,8.4%,13.4%,0.237,1.26,0.299,77.8%,72.0,81.0,3.2,23.3%,28.7%,20.2%,12.6%,,,15.1%,,,,291,0.257,524,0.463,230,0.203,86,0.076,91.97,2061.0,0.588,0.0,0.5,0.176,0.324,91.82,2103.0,0.41,0.0,0.53,0.181,0.277,,,,,,,,,,,,,,,
david peterson,P,NYM,Hits Allowed,5.5,WSH,base,Wed 7:10 PM,12,4,2,2.8,65,8.28,3.18,2.6,0.51,8.15,20302,21.7%,8.4%,13.4%,0.237,1.26,0.299,77.8%,72.0,81.0,3.2,23.3%,28.7%,20.2%,12.6%,,,15.1%,,,,291,0.257,524,0.463,230,0.203,86,0.076,91.97,2061.0,0.588,0.0,0.5,0.176,0.324,91.82,2103.0,0.41,0.0,0.53,0.181,0.277,,,,,,,,,,,,,,,
david peterson,P,NYM,Pitcher Strikeouts,5.0,WSH,base,Wed 7:10 PM,12,4,2,2.8,65,8.28,3.18,2.6,0.51,8.15,20302,21.7%,8.4%,13.4%,0.237,1.26,0.299,77.8%,72.0,81.0,3.2,23.3%,28.7%,20.2%,12.6%,,,15.1%,,,,291,0.257,524,0.463,230,0.203,86,0.076,91.97,2061.0,0.588,0.0,0.5,0.176,0.324,91.82,2103.0,0.41,0.0,0.53,0.181,0.277,W,31.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,106.0,27.0,6.0,1.0
jake irvin,P,WSH,Pitching Outs,16.5,NYM,base,Wed 7:10 PM,13,5,2,4.02,50,5.74,2.53,2.27,1.26,8.5,21504,15.2%,6.7%,8.5%,0.243,1.23,0.258,76.0%,101.0,113.0,4.5,30.1%,18.9%,0.6%,36.8%,,2.8%,10.9%,,,,389,0.327,537,0.452,194,0.163,68,0.057,93.08,2354.0,0.429,0.0,0.452,0.238,0.262,92.18,2314.0,0.456,0.0,0.427,0.291,0.233,L,24.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,0.0,0.0,100.0,15.0,15.0,0.0
