Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Split Finger,Sweeper,Sinker,Changeup,Slider,Curveball,Cutter,Knuckle Curve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
logan webb,P,SF,Pitches Thrown,98.5,LAD,base,Fri 10:10 PM,14,5,5,2.58,101,10.41,1.75,5.94,0.52,8.66,17995,28.5%,4.8%,23.7%,0.249,1.16,0.342,76.8%,65.0,56.0,2.13,6.9%,,28.4%,37.7%,19.5%,,,7.4%,,357,0.264,573,0.424,321,0.238,100,0.074,93.33,2148.0,0.206,0.0,0.647,0.147,0.118,93.11,2148.0,0.425,0.0,0.609,0.126,0.195,,24.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,98.0,21.0,98.0,0.0
yoshinobu yamamoto,P,LAD,Earned Runs Allowed,1.5,SF,base,Fri 10:10 PM,13,6,4,2.2,86,10.51,3.05,3.44,0.73,5.99,33825,29.6%,8.6%,21.0%,0.186,1.0,0.25,81.4%,56.0,72.0,2.9,36.6%,27.7%,0.1%,6.1%,,2.3%,18.4%,8.9%,,269,0.222,540,0.445,315,0.259,90,0.074,95.14,2169.0,0.444,0.0,0.519,0.148,0.259,95.08,2135.0,0.379,0.0,0.5,0.273,0.167,,24.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,14.0,0.0,0.0
yoshinobu yamamoto,P,LAD,Pitcher Strikeouts,6.5,SF,base,Fri 10:10 PM,13,6,4,2.2,86,10.51,3.05,3.44,0.73,5.99,33825,29.6%,8.6%,21.0%,0.186,1.0,0.25,81.4%,56.0,72.0,2.9,36.6%,27.7%,0.1%,6.1%,,2.3%,18.4%,8.9%,,269,0.222,540,0.445,315,0.259,90,0.074,95.14,2169.0,0.444,0.0,0.519,0.148,0.259,95.08,2135.0,0.379,0.0,0.5,0.273,0.167,,24.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,14.0,9.0,1.0
yoshinobu yamamoto,P,LAD,Pitcher Fantasy Score,39.5,SF,base,Fri 10:10 PM,13,6,4,2.2,86,10.51,3.05,3.44,0.73,5.99,33825,29.6%,8.6%,21.0%,0.186,1.0,0.25,81.4%,56.0,72.0,2.9,36.6%,27.7%,0.1%,6.1%,,2.3%,18.4%,8.9%,,269,0.222,540,0.445,315,0.259,90,0.074,95.14,2169.0,0.444,0.0,0.519,0.148,0.259,95.08,2135.0,0.379,0.0,0.5,0.273,0.167,,24.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,14.0,49.0,1.0
yoshinobu yamamoto,P,LAD,Hits Allowed,4.5,SF,base,Fri 10:10 PM,13,6,4,2.2,86,10.51,3.05,3.44,0.73,5.99,33825,29.6%,8.6%,21.0%,0.186,1.0,0.25,81.4%,56.0,72.0,2.9,36.6%,27.7%,0.1%,6.1%,,2.3%,18.4%,8.9%,,269,0.222,540,0.445,315,0.259,90,0.074,95.14,2169.0,0.444,0.0,0.519,0.148,0.259,95.08,2135.0,0.379,0.0,0.5,0.273,0.167,,,,,,,,,,,,,,,
yoshinobu yamamoto,P,LAD,Pitches Thrown,94.5,SF,base,Fri 10:10 PM,13,6,4,2.2,86,10.51,3.05,3.44,0.73,5.99,33825,29.6%,8.6%,21.0%,0.186,1.0,0.25,81.4%,56.0,72.0,2.9,36.6%,27.7%,0.1%,6.1%,,2.3%,18.4%,8.9%,,269,0.222,540,0.445,315,0.259,90,0.074,95.14,2169.0,0.444,0.0,0.519,0.148,0.259,95.08,2135.0,0.379,0.0,0.5,0.273,0.167,,24.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,14.0,102.0,1.0
luis castillo,P,SEA,Pitcher Fantasy Score,30.5,CLE,base,Fri 10:10 PM,13,4,4,3.31,60,7.36,2.82,2.61,0.86,8.84,15689,19.2%,7.4%,11.9%,0.25,1.3,0.294,77.7%,88.0,93.0,3.66,46.9%,,,20.2%,10.7%,22.3%,,,,327,0.264,542,0.437,274,0.221,96,0.077,95.65,2185.0,0.529,0.0,0.353,0.265,0.265,95.63,2216.0,0.511,0.0,0.33,0.284,0.307,L,24.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,1.0,0.0,99.0,18.0,18.0,0.0
luis castillo,P,SEA,Pitches Thrown,94.5,CLE,base,Fri 10:10 PM,13,4,4,3.31,60,7.36,2.82,2.61,0.86,8.84,15689,19.2%,7.4%,11.9%,0.25,1.3,0.294,77.7%,88.0,93.0,3.66,46.9%,,,20.2%,10.7%,22.3%,,,,327,0.264,542,0.437,274,0.221,96,0.077,95.65,2185.0,0.529,0.0,0.353,0.265,0.265,95.63,2216.0,0.511,0.0,0.33,0.284,0.307,L,24.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,1.0,0.0,99.0,18.0,99.0,1.0
luis castillo,P,SEA,Pitcher Strikeouts,5.0,CLE,base,Fri 10:10 PM,13,4,4,3.31,60,7.36,2.82,2.61,0.86,8.84,15689,19.2%,7.4%,11.9%,0.25,1.3,0.294,77.7%,88.0,93.0,3.66,46.9%,,,20.2%,10.7%,22.3%,,,,327,0.264,542,0.437,274,0.221,96,0.077,95.65,2185.0,0.529,0.0,0.353,0.265,0.265,95.63,2216.0,0.511,0.0,0.33,0.284,0.307,L,24.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,1.0,0.0,99.0,18.0,5.0,1.0
gavin williams,P,CLE,Pitcher Strikeouts,6.0,SEA,base,Fri 10:10 PM,13,5,3,3.86,71,9.78,4.96,1.97,1.24,7.85,30122,25.2%,12.8%,12.4%,0.233,1.42,0.291,76.2%,97.0,109.0,4.39,44.6%,,23.3%,1.1%,0.2%,,19.0%,11.8%,,300,0.249,505,0.419,285,0.237,115,0.095,95.62,2273.0,0.29,0.0,0.581,0.161,0.129,96.24,2284.0,0.366,0.0,0.465,0.225,0.211,,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,89.0,12.0,5.0,0.0
gavin williams,P,CLE,Pitching Outs,17.0,SEA,base,Fri 10:10 PM,13,5,3,3.86,71,9.78,4.96,1.97,1.24,7.85,30122,25.2%,12.8%,12.4%,0.233,1.42,0.291,76.2%,97.0,109.0,4.39,44.6%,,23.3%,1.1%,0.2%,,19.0%,11.8%,,300,0.249,505,0.419,285,0.237,115,0.095,95.62,2273.0,0.29,0.0,0.581,0.161,0.129,96.24,2284.0,0.366,0.0,0.465,0.225,0.211,,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,89.0,12.0,12.0,0.0
gavin williams,P,CLE,Pitches Thrown,94.5,SEA,base,Fri 10:10 PM,13,5,3,3.86,71,9.78,4.96,1.97,1.24,7.85,30122,25.2%,12.8%,12.4%,0.233,1.42,0.291,76.2%,97.0,109.0,4.39,44.6%,,23.3%,1.1%,0.2%,,19.0%,11.8%,,300,0.249,505,0.419,285,0.237,115,0.095,95.62,2273.0,0.29,0.0,0.581,0.161,0.129,96.24,2284.0,0.366,0.0,0.465,0.225,0.211,,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,89.0,12.0,89.0,0.0
