Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time
Obi Toppin,F,IND,Pts+Asts,10.0,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Free Throws Made,0.5,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Two Pointers Attempted,4.0,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,FG Made,3.0,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Dunks,0.5,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,3-PT Attempted,3.0,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,FG Attempted,7.0,OKC,base,Thu 8:40 PM
Obi Toppin,F,IND,Pts+Rebs,11.5,OKC,base,Thu 8:40 PM
Ben Sheppard,G,IND,Pts+Rebs+Asts,6.5,OKC,base,Thu 8:40 PM
Ben Sheppard,G,IND,Points,3.0,OKC,base,Thu 8:40 PM
Ben Sheppard,G,IND,Pts+Asts,4.5,OKC,base,Thu 8:40 PM
Ben Sheppard,G,IND,Pts+Rebs,5.5,OKC,base,Thu 8:40 PM
Ben Sheppard,G,IND,FG Attempted,3.0,OKC,base,Thu 8:40 PM
Cason Wallace,G,OKC,Points,6.5,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,Two Pointers Attempted,3.0,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,FG Attempted,6.0,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,3-PT Attempted,3.0,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,Pts+Rebs,10.5,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,Pts+Rebs+Asts,12.5,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,Pts+Asts,9.0,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,Fantasy Score,18.0,IND,base,Thu 8:40 PM
Cason Wallace,G,OKC,FG Made,2.5,IND,base,Thu 8:40 PM
Pascal Siakam,F,IND,Points In First 5 Minutes,2.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Personal Fouls,3.0,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Two Pointers Made,6.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,FG Attempted,16.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Free Throws Attempted,4.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Pts+Rebs+Asts,29.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Offensive Rebounds,1.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Pts+Rebs,26.0,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Defensive Rebounds,5.0,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Fantasy Score,34.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Points,19.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Two Pointers Attempted,12.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Pts+Asts,22.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Rebounds,6.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Rebs+Asts,9.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,PRA In First 5 Minutes,3.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,FG Made,7.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Free Throws Made,3.5,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,3-PT Attempted,4.0,OKC,base,Thu 8:40 PM
Pascal Siakam,F,IND,Assists,3.0,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Pts+Asts,26.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,3-PT Attempted,7.0,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Rebs+Asts,13.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,FG Made,6.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Two Pointers Made,4.0,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Two Pointers Attempted,7.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Free Throws Made,3.0,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Fantasy Score,39.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Free Throws Attempted,3.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,FG Attempted,14.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,PRA In First 5 Minutes,3.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Pts+Rebs+Asts,31.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Points,17.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Assists,9.0,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Rebounds,4.5,OKC,base,Thu 8:40 PM
Tyrese Haliburton,G,IND,Pts+Rebs,22.5,OKC,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Steals,1.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,FG Made,11.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Pts+Asts,40.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Free Throws Attempted,10.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Pts+Rebs+Asts,45.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Assists,7.0,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,PRA In First 5 Minutes,5.0,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,FG Attempted,22.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Two Pointers Attempted,18.0,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Rebs+Asts,12.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Fantasy Score,56.0,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Dunks,0.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Points In First 5 Minutes,4.0,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Free Throws Made,9.0,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,3-PT Attempted,4.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Points,33.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Pts+Rebs,39.0,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Rebounds,5.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Personal Fouls,2.5,IND,base,Thu 8:40 PM
Shai Gilgeous-Alexander,G,OKC,Two Pointers Made,10.0,IND,base,Thu 8:40 PM
